UPI_Frequency,UPI_Spent_Monthly,UPI_Groceries,UPI_Utilities,UPI_Transport,UPI_Mobile,UPI_Rent,UPI_Ecommerce,Merchants_Paid,ATM_Withdraw_Freq,ATM_Withdraw_Amount,Loan_Repayment,RD_FD_Amount,Digital_Gold_Savings,Mutual_Fund_SIP,SHG_Contribution,Chit_Fund,Electricity_Payment_Timing,Gas_Bill,Water_Bill,DTH_Internet_Bill,EMI_Payment_Status,Shakti_Score
1,47084,4927,2966,1562,753,26500,4854,4,5,6076,0,3161,1795,8094,3474,9625,On-Time,348,432,1986,On-Time,393
1,4495,9267,4806,503,970,8799,6227,49,8,15918,0,35537,8232,4471,3360,160,On-Time,1282,392,2213,On-Time,625
3,38904,8020,3202,318,312,4328,8371,6,2,8215,0,1596,7208,7574,4937,978,On-Time,425,403,332,Delayed,346
1,14631,249,4627,867,684,11449,5311,17,9,8086,3586,31,2257,4935,3406,5884,On-Time,1060,363,1185,On-Time,293
3,551,3066,3008,980,981,7523,5547,38,8,26399,0,41040,3005,6779,2975,6731,On-Time,627,422,2418,Delayed,582
1,35233,5771,3823,1028,590,20155,18727,35,3,9838,0,24123,6843,7653,2340,6467,On-Time,501,488,1712,On-Time,669
2,27457,3226,781,311,840,8499,14122,6,3,27403,0,31024,2651,8033,2437,6230,On-Time,502,510,1517,On-Time,300
1,21402,7627,3092,887,388,23340,6865,44,7,2340,3586,49629,9256,7424,3703,4548,On-Time,1171,145,755,On-Time,694
1,3272,5531,3988,1304,636,15067,8270,6,8,26003,0,19544,8079,14654,2553,8573,On-Time,365,102,1063,On-Time,198
2,47020,8165,3479,871,904,27782,9513,26,5,4542,0,43184,9666,6625,3259,4532,On-Time,917,828,1557,On-Time,707
3,48777,3685,4737,58,741,4471,10940,8,3,12962,0,23186,4266,11213,255,9161,On-Time,1281,782,1941,On-Time,495
1,27724,6692,3022,1061,565,12650,5840,30,6,9936,3586,6827,3096,10550,3604,3702,On-Time,1140,245,450,On-Time,569
3,17401,6518,4053,340,339,17796,5118,27,8,21818,0,21844,4637,8236,121,5195,On-Time,515,736,1014,Delayed,421
1,3681,3418,4008,1439,926,11857,7805,16,7,28321,0,34178,4277,5642,3349,3341,On-Time,431,177,1889,On-Time,340
1,34222,6123,2937,776,472,4020,16079,29,8,15227,0,25361,8983,9945,3459,7056,On-Time,516,240,1152,Delayed,623
1,24611,846,892,514,386,11606,17065,38,9,4017,3586,6043,3301,11122,3283,597,On-Time,1060,326,1389,On-Time,560
2,15108,5707,2431,540,740,24869,6504,16,7,19418,0,35443,7692,5498,407,7570,On-Time,1084,643,1370,On-Time,338
2,6725,5262,4567,890,983,17646,9643,39,6,20585,0,33509,6302,11289,4224,6953,On-Time,423,820,1621,On-Time,580
2,1512,500,4937,332,499,29205,10044,47,0,25346,0,709,4068,8400,1416,2701,On-Time,997,975,2146,On-Time,556
3,43973,9073,228,510,545,21812,6760,40,3,3458,0,42526,449,12274,3529,662,On-Time,355,101,2163,On-Time,814
3,24766,138,2461,651,838,29551,9720,9,1,478,0,1972,896,9866,686,201,On-Time,1115,842,948,On-Time,313
1,26660,7851,2512,1738,439,19164,13870,25,7,11965,0,8503,9170,5335,2825,8088,On-Time,1228,606,2008,On-Time,465
2,24394,5708,812,711,938,12382,3309,24,2,14510,0,10118,3949,7678,693,8416,On-Time,783,498,663,On-Time,467
1,5019,5551,1482,545,932,29865,2457,19,9,2784,0,9671,8423,1303,679,7078,Late,1192,312,702,Delayed,295
1,3159,8088,1162,1550,179,25530,5449,35,5,24462,3586,22480,1359,12759,1534,7941,On-Time,258,920,1638,On-Time,532
1,7942,6184,3432,826,577,7310,6436,4,8,6767,0,13625,5968,3872,3617,6655,On-Time,1272,922,1744,On-Time,213
1,28169,7169,4452,697,428,21932,3417,20,3,12375,3586,35589,3213,11460,3194,5560,On-Time,818,145,2185,On-Time,536
3,35721,9141,593,752,892,27460,12285,37,5,18923,3586,4260,7933,6092,2523,787,On-Time,635,647,590,Delayed,650
2,13224,2775,2477,114,709,11109,18302,21,5,19824,0,25407,489,13974,1410,8236,On-Time,353,765,1616,On-Time,401
1,19371,1720,3829,951,80,3177,8527,1,0,26371,0,19889,9969,6637,1507,6782,On-Time,201,120,1784,On-Time,183
2,18619,5391,1036,969,858,4370,5743,36,7,7738,3586,34510,4027,9852,1464,5021,On-Time,433,965,2429,On-Time,578
2,48036,8367,4622,744,220,22125,13269,4,8,16443,3586,16895,8024,13745,3637,5908,On-Time,1317,145,689,On-Time,454
3,22284,3645,1519,1757,373,28076,19001,1,4,1201,0,11626,937,4317,565,8243,On-Time,1182,475,1797,On-Time,147
1,41626,3546,329,431,52,26954,17825,46,8,15595,0,32806,9482,4341,2402,1678,On-Time,1022,877,2251,On-Time,784
2,7657,983,4719,1442,338,23644,7829,36,3,28888,0,485,404,10839,4296,5536,Late,1185,560,1647,On-Time,495
1,31541,1439,413,726,115,8184,16600,32,9,10317,0,32420,1669,9110,3928,7335,On-Time,738,316,630,On-Time,668
2,23338,9607,3521,1661,73,23702,16472,10,9,985,3586,4222,7548,5241,992,8623,On-Time,743,502,445,On-Time,304
2,24874,9094,2919,66,771,8334,2478,4,5,4307,0,9563,2811,5131,3755,693,On-Time,715,683,1305,On-Time,255
1,44257,5373,303,1399,347,29158,4343,25,4,29286,3586,33834,8817,7498,1893,5036,On-Time,201,770,381,On-Time,578
2,47834,8468,2182,418,707,15138,2094,41,5,179,0,2079,1391,9255,461,7921,On-Time,899,254,1730,On-Time,699
1,43296,1130,1579,1411,577,8871,1501,14,8,18944,0,4824,7535,13861,86,1255,On-Time,187,591,1621,On-Time,419
1,27233,1721,913,65,189,22433,5811,38,1,15566,0,9097,7216,9288,1345,6866,Late,939,250,1299,On-Time,654
1,46571,4443,1507,450,655,7337,12308,22,8,15289,0,32225,8618,13957,4826,5413,On-Time,691,153,883,On-Time,694
2,16842,9993,3274,685,303,12138,18942,38,5,4292,0,11196,2348,3064,2479,2294,On-Time,1465,980,760,Delayed,502
1,17200,106,4539,238,827,16399,3745,15,8,4853,3586,24573,3810,12939,4455,1833,On-Time,877,273,1167,On-Time,426
1,33888,1729,1690,1976,197,18540,3203,29,5,11221,0,22655,8406,14436,4842,269,On-Time,868,761,1967,On-Time,673
3,36069,6515,991,313,703,17578,5441,3,6,3620,0,17736,2173,7936,3635,3325,On-Time,903,886,1121,On-Time,312
1,4426,6869,4741,1699,69,11513,7168,41,7,14980,3586,28511,5592,7779,3790,6054,On-Time,865,735,725,Delayed,551
1,26762,5647,769,941,747,11732,16993,9,2,29471,0,37745,8080,8794,1457,5329,On-Time,434,514,677,On-Time,393
3,38371,573,310,1354,130,6758,16852,31,0,2178,0,12985,9686,3885,745,7380,On-Time,486,517,2058,On-Time,568
2,23833,5012,4179,1507,887,28949,10791,2,5,3373,3586,26949,3444,2,4876,7042,On-Time,435,520,454,On-Time,288
2,47792,6841,1173,226,591,27320,6715,11,2,18251,3586,6656,2254,5490,68,2928,On-Time,1427,411,1269,On-Time,353
2,25805,9384,3580,816,716,7589,10025,12,2,5733,3586,2680,2132,10961,4718,2533,On-Time,129,154,1663,On-Time,309
2,41084,5483,578,565,404,21913,6777,45,5,28230,3586,31158,9078,6495,1490,3915,On-Time,1352,556,2204,Delayed,811
1,17682,2735,1710,1661,518,3633,9431,48,7,8811,0,41121,1550,7870,2241,8587,On-Time,1087,365,844,On-Time,693
1,3566,3675,2694,1537,310,21491,1027,21,1,6869,3586,32878,8987,7908,2447,7288,On-Time,776,127,400,On-Time,399
3,22230,9163,4329,1920,971,29821,4180,33,8,18911,3586,29268,9061,9874,3119,3086,On-Time,1125,554,383,On-Time,568
1,16108,8926,1416,581,703,13105,1154,49,3,12312,0,275,4814,11052,1381,4820,On-Time,607,548,1080,On-Time,605
1,40690,9444,2936,66,385,26113,14099,20,7,20026,0,22037,5172,14318,3703,8546,On-Time,1386,814,1687,On-Time,531
2,47919,8844,2143,687,283,13871,7280,45,1,17231,0,28282,266,2878,3169,3024,On-Time,211,184,1807,On-Time,782
1,42191,3716,3417,1074,708,6145,19006,4,6,17210,0,12451,67,14738,2380,5925,On-Time,1229,981,1494,On-Time,381
1,16480,4565,1666,1966,53,14784,9637,10,8,2416,3586,28542,981,10385,824,956,On-Time,1432,408,2345,On-Time,326
2,44648,9357,4472,550,524,11565,3845,39,8,6251,3586,4550,5222,10320,1650,8697,On-Time,997,389,1993,On-Time,670
1,24754,8577,3833,122,992,23935,13685,18,6,3703,3586,13097,9240,12870,2121,9815,On-Time,1268,456,2395,Delayed,436
2,49716,121,2160,1533,620,8935,7434,15,0,7533,0,31465,2704,5509,521,8368,On-Time,1105,854,455,On-Time,553
3,41374,2689,2500,686,110,27352,2821,17,3,18416,3586,23851,7837,8287,837,5755,Late,493,245,1436,On-Time,436
1,43638,7855,2239,347,417,27823,9312,7,1,7739,3586,7311,2358,10899,176,3897,Late,1274,804,1327,On-Time,364
3,45336,6378,4486,1121,97,22776,13056,31,2,15382,3586,41458,2200,1433,2699,2672,Late,232,768,1839,On-Time,637
2,41173,8653,2105,957,405,7400,12131,41,5,535,0,41334,5510,2040,4866,5431,On-Time,1367,304,623,On-Time,813
1,46339,2815,1781,1042,959,27509,5883,19,6,24090,0,20542,1781,5144,4604,2733,On-Time,710,300,1132,On-Time,547
3,8997,1142,1791,1620,738,7357,8647,38,4,7941,3586,14971,362,131,2376,4818,Late,1374,579,1837,On-Time,486
3,17012,8563,4507,1036,921,19722,3211,15,1,8119,0,18449,599,2892,4799,1535,On-Time,1136,647,476,Delayed,346
2,36611,4705,4136,637,642,16481,8191,5,7,29326,3586,37233,821,8228,4401,529,On-Time,1407,665,1270,On-Time,375
1,47514,9845,224,356,491,17974,6877,41,2,3825,0,6292,8273,12120,1569,7189,On-Time,821,316,580,On-Time,713
1,49176,3160,2375,524,69,14793,11264,44,0,752,0,46933,3888,7833,275,2587,On-Time,1080,326,995,Delayed,840
2,30122,6974,4946,1807,647,27782,14249,19,3,5805,0,26753,7151,11486,4112,7357,On-Time,1035,839,1972,Delayed,510
1,45496,6580,3556,268,796,18944,16184,15,7,6555,0,11293,5480,1383,1203,7245,Late,379,791,1642,On-Time,465
1,20729,7088,2216,1628,81,23382,19620,35,8,29140,3586,44990,1490,11445,3527,2689,On-Time,1359,803,1977,On-Time,675
2,12400,4747,390,225,721,16575,12614,15,6,29421,3586,11842,5135,12933,4771,6942,On-Time,160,890,2058,Delayed,343
1,47902,7358,278,176,467,19706,10689,20,8,27147,3586,42156,3587,8762,4553,9426,On-Time,988,667,2119,On-Time,659
3,45828,7892,1041,761,644,11778,15682,24,7,26946,0,18406,7804,6908,3016,9018,On-Time,1095,680,2296,On-Time,579
1,43074,8183,4590,1296,455,21389,11168,39,7,7251,0,44949,1875,414,4210,5277,On-Time,471,644,1631,On-Time,707
3,32032,5184,2129,1542,211,15078,16793,46,7,8813,0,46577,3646,11281,204,6445,On-Time,395,576,500,On-Time,783
3,28518,1535,940,1851,898,5540,13503,16,2,10250,0,925,3572,11635,3770,5079,On-Time,1138,519,696,On-Time,417
2,8601,6634,3557,1442,566,6822,6380,46,0,29925,0,19705,7870,11871,4740,6349,Late,764,110,1979,On-Time,625
1,1059,8610,4430,341,198,21426,11115,7,8,5805,0,9463,877,9368,4291,7811,On-Time,114,665,1446,On-Time,244
2,25656,1391,3043,897,444,21638,10366,36,3,23061,0,21035,2906,10770,969,7337,Late,1180,944,1331,On-Time,636
2,18638,9011,4674,404,80,4060,15911,26,7,20424,0,47099,1031,3541,1630,5953,Late,1346,286,1037,On-Time,488
3,39283,8414,2522,1425,703,8878,18671,4,4,13263,0,21043,9162,12278,1152,9816,On-Time,921,899,1490,Delayed,378
1,36732,742,1148,797,535,26743,8157,21,6,29793,0,6895,2556,789,4153,1731,On-Time,1339,549,2020,On-Time,431
2,47390,3205,721,309,364,13229,15675,29,9,14475,3586,22640,8289,14442,3848,9419,On-Time,264,811,1353,On-Time,659
1,42370,6804,4523,595,475,23707,13770,6,9,4419,3586,14516,7732,2431,740,6529,Late,1324,533,1965,On-Time,346
1,15692,6661,1028,70,571,25859,11586,3,7,6658,0,16513,6490,276,4388,3656,On-Time,1078,881,2137,On-Time,156
2,7282,8539,2442,1936,906,6755,19277,47,7,26414,0,24136,1156,10785,43,6132,On-Time,237,788,593,On-Time,628
3,13920,6955,548,1913,436,29628,9897,44,0,9701,3586,39382,9309,5873,1999,4866,On-Time,925,436,442,Delayed,649
2,24192,3573,1366,530,990,27163,4209,46,4,19878,3586,23112,1378,1977,3155,4424,On-Time,866,344,1174,On-Time,682
3,25623,8482,3794,813,466,10840,14452,19,7,1585,0,30468,3914,10106,3581,5875,On-Time,564,561,1491,On-Time,528
1,1331,1656,3286,1298,260,7442,5434,21,9,25069,3586,1397,7304,13280,1688,625,On-Time,1401,216,1750,On-Time,345
2,9293,1310,4263,1948,936,3019,17874,21,9,7825,0,24237,9263,3298,4266,7088,On-Time,1384,724,525,Delayed,365
1,15312,1492,4074,136,446,12841,11271,49,0,19365,3586,42951,1045,9837,553,8763,On-Time,679,270,2119,Delayed,688
1,32058,7716,2698,1928,553,11014,7554,13,0,12630,0,2684,952,12621,1306,8380,On-Time,434,940,1950,On-Time,383
3,42631,9996,4297,1725,596,17377,13683,22,9,6259,0,36526,2577,6544,3379,9915,On-Time,994,709,460,Delayed,622
3,17737,7424,4606,554,403,7632,2768,27,0,21407,0,7436,3160,13357,2674,5519,On-Time,473,776,433,On-Time,502
2,19939,5882,3243,1721,74,13974,5782,35,3,12972,0,8846,9641,3706,1198,3746,On-Time,166,568,986,On-Time,553
3,8790,3325,4190,1092,850,15028,16545,49,5,14238,0,21391,7784,2447,327,6280,On-Time,340,972,1156,On-Time,606
2,20728,9079,646,1410,867,20718,7834,10,2,15351,0,25343,1722,7394,1910,3710,On-Time,433,596,2469,On-Time,370
3,46874,4994,1247,1049,95,28433,4822,26,5,7744,0,14207,2038,10712,3016,3250,On-Time,1275,676,344,On-Time,594
2,36013,4211,3749,1643,85,29580,7867,31,6,12974,0,49191,5696,7438,3868,208,Late,265,404,1293,On-Time,700
2,8942,5001,4020,669,836,21041,12402,3,2,20865,0,40427,7344,1381,3546,8620,On-Time,703,168,1340,On-Time,234
2,3826,2612,248,1888,396,7242,13048,3,7,1794,0,6601,6684,1708,3982,633,On-Time,331,949,1811,On-Time,106
3,45237,4435,2811,1515,835,29291,12202,42,1,23762,3586,4684,5065,6200,2838,706,On-Time,858,338,981,On-Time,714
2,46505,6227,3714,260,522,16778,3353,47,9,18105,0,22485,5874,5484,3251,1839,On-Time,1409,271,1790,On-Time,808
1,32680,2665,733,209,376,7132,9161,24,6,5775,0,8111,7997,3558,2684,1179,On-Time,680,760,1554,On-Time,512
1,4233,114,2280,1584,986,26734,7344,31,5,13905,0,39757,4932,10431,3427,7847,On-Time,162,824,911,Delayed,568
1,32950,744,533,207,65,15950,4198,10,2,27821,0,11787,5296,10417,935,4152,On-Time,191,648,2061,On-Time,316
2,24184,8247,4837,743,724,24835,15997,17,9,8721,3586,253,3589,1395,2248,1096,On-Time,217,976,1122,On-Time,296
2,16615,4125,4037,60,482,26249,14222,15,6,5532,3586,45441,622,8828,310,1087,On-Time,1029,559,314,On-Time,337
3,19901,8836,3352,1798,898,9400,9286,7,1,8860,0,41256,7449,12748,2086,3615,On-Time,719,717,2249,Delayed,394
1,24807,6716,2612,1215,992,12368,8868,49,5,28636,3586,24775,6857,6919,3672,1784,On-Time,520,513,357,On-Time,728
2,43445,222,3887,94,914,27429,18089,19,8,12433,0,45517,8016,14935,1965,9386,Late,1328,855,1912,On-Time,655
3,29898,5846,3917,388,883,23307,16259,12,6,12243,0,25988,9808,8354,2257,7677,On-Time,865,359,1042,On-Time,414
2,10718,985,3527,845,460,18058,16777,14,8,19029,3586,25253,3764,8576,3451,919,On-Time,146,129,2043,Delayed,273
1,22823,1060,837,212,257,9582,19489,11,4,1596,0,22956,8617,2308,1124,5544,On-Time,1143,952,1240,On-Time,288
3,46842,7224,628,185,300,23634,6809,28,4,25006,3586,3419,2270,10525,3639,4025,Late,1082,460,1741,On-Time,611
1,34342,2916,4338,273,981,12441,13119,37,3,13519,3586,44089,1034,12265,3494,5709,On-Time,848,154,1900,On-Time,734
3,13782,7619,3994,728,769,22238,16368,22,0,4680,0,20106,8707,7598,3024,9098,On-Time,248,898,1261,On-Time,375
1,2773,823,2006,1533,658,9235,17782,19,4,4066,0,34355,7868,2930,2278,40,On-Time,286,312,1294,On-Time,332
2,38835,8434,1230,1485,338,4831,1671,29,0,6592,0,1333,7926,13415,1219,3313,On-Time,1208,478,1871,On-Time,561
3,13167,8768,4755,1855,566,5461,7293,44,1,24243,0,12539,3667,13327,1290,9112,On-Time,1239,952,609,On-Time,675
3,18523,6517,1825,364,84,17819,9005,46,9,1872,0,30981,6199,9366,2465,6837,On-Time,983,930,938,On-Time,669
3,3419,7826,1013,1804,663,10511,5211,45,5,24295,0,34031,6990,9221,3811,6543,On-Time,1267,781,317,On-Time,675
2,39221,2221,255,1280,817,3848,18479,39,6,67,0,41271,3704,11230,2543,748,On-Time,227,242,2399,On-Time,783
2,49780,5326,2146,1384,666,23691,6674,45,8,12523,0,17707,9827,9505,197,3696,On-Time,263,479,1661,On-Time,826
1,24619,1541,3695,1614,54,5081,1794,11,6,10436,3586,31933,8840,3700,2250,5999,On-Time,260,715,2058,On-Time,336
1,34219,5044,3187,652,796,23387,13926,25,1,18414,0,5930,3278,7656,357,5107,On-Time,965,378,1725,On-Time,517
1,17702,8189,2545,405,782,7835,10381,24,1,24633,0,46618,4157,3272,1461,8785,On-Time,804,106,2446,On-Time,452
3,19917,3320,3299,160,489,17850,3742,10,4,17909,3586,5808,6851,600,1691,9624,On-Time,690,401,2416,On-Time,287
2,14855,3315,4845,871,188,25198,9502,28,0,26829,3586,44728,2343,8676,2292,8584,On-Time,526,283,2497,Delayed,537
3,17185,1129,4043,132,583,20143,12440,37,9,5140,0,45167,551,12739,3117,3665,On-Time,1086,496,719,On-Time,642
3,43158,6053,3414,787,309,18977,4177,1,0,4679,0,17777,2151,5434,2358,8533,Late,1429,917,1564,On-Time,290
3,9487,4327,401,89,229,5024,17439,38,0,15220,0,47701,6350,5142,4855,2521,Late,444,640,1344,On-Time,619
1,10114,9482,977,1557,641,23405,6663,26,7,27661,3586,49998,9539,7659,2704,2654,Late,1152,761,1631,On-Time,499
2,23949,4796,187,561,807,21808,1306,10,1,5158,0,17780,8059,12490,683,5643,On-Time,959,719,2285,On-Time,360
3,15795,538,745,1835,463,7365,4293,3,9,15399,0,38414,91,6688,4404,5967,On-Time,804,526,633,On-Time,317
1,5625,4198,1023,318,499,12886,7400,22,2,4582,0,22043,3841,1203,4037,7243,On-Time,470,286,1958,Delayed,354
3,26443,1541,4740,525,682,4961,1241,6,5,1070,0,40482,8958,3765,777,4917,Late,276,343,807,On-Time,353
1,48825,3782,1070,396,708,12721,12160,13,8,14618,0,19508,3265,1357,2859,4063,On-Time,667,805,1931,On-Time,411
1,42127,3354,4958,138,583,8060,13671,39,9,21243,0,34913,2843,7796,3910,9736,Late,985,165,555,On-Time,767
2,33013,1836,3421,1846,551,8029,16648,20,3,11328,0,6772,4891,2060,2313,9989,On-Time,1041,999,1985,On-Time,459
2,19442,4022,3373,1109,727,15252,10624,46,9,15462,0,6860,4210,11554,1183,1337,Late,1439,761,1402,Delayed,629
3,45042,4008,1808,416,836,22136,4614,19,1,1621,3586,24885,2803,5934,967,8029,On-Time,805,182,2364,On-Time,522
2,8745,6611,1594,770,586,11863,11149,18,4,1386,0,5222,4252,12641,1717,40,On-Time,935,480,1094,On-Time,292
2,35729,5194,2869,497,459,26926,19414,3,0,14163,3586,49426,7259,5749,1103,5844,On-Time,1009,630,1905,On-Time,337
2,26067,7931,3038,1036,897,9394,4767,15,3,11893,0,17608,1427,14781,4738,9964,On-Time,1112,437,1706,On-Time,425
3,3986,9926,4384,1254,499,19603,17532,8,9,11522,0,4681,2212,7227,4722,6814,On-Time,868,977,2038,On-Time,187
1,36110,8875,2802,1332,867,7066,15456,17,7,17704,0,30239,7930,12032,3309,6435,On-Time,641,575,2361,On-Time,511
1,20745,4517,1615,557,749,8561,11532,18,1,18543,3586,35704,9125,1630,553,5127,On-Time,290,306,1089,Delayed,373
3,1397,9089,4473,1397,667,19157,7794,12,0,6874,3586,42616,6573,5299,4010,975,On-Time,1113,559,1013,On-Time,319
2,12633,819,2601,1646,771,6372,16530,17,0,5280,0,27263,9248,10801,4562,4472,Late,371,615,1410,On-Time,375
3,37761,6384,4156,1331,575,14350,5366,6,6,12542,3586,5132,965,2847,4934,8107,On-Time,1106,251,1431,On-Time,294
2,40009,2162,3533,1977,498,9858,9791,16,3,22958,0,19872,5833,13568,1183,3342,On-Time,290,782,822,On-Time,485
2,47288,6262,4074,1357,685,27490,1796,3,9,20438,0,24145,5333,12077,4780,2668,Late,522,174,2009,On-Time,380
1,27748,6792,4012,639,251,25115,6977,28,9,25807,0,2642,6370,8722,4006,520,On-Time,245,362,2175,On-Time,539
3,34291,7654,4840,539,836,4371,5963,24,5,2163,0,38328,2850,11119,2034,8353,On-Time,152,825,2130,On-Time,609
3,27938,5601,4709,1350,124,18508,13379,7,7,1096,0,25311,9618,4693,3386,672,On-Time,625,761,798,On-Time,312
3,28281,9859,4107,231,753,3612,10476,10,6,15618,0,29447,1308,890,166,5024,On-Time,1094,188,965,On-Time,342
3,2024,6196,4021,1730,844,23342,5507,22,9,25006,0,22939,8093,9512,2498,5733,Late,610,404,1627,On-Time,387
2,24329,9717,473,880,409,18093,10129,3,5,28365,3586,46333,7638,7862,3835,3968,Late,209,748,2133,On-Time,373
1,37713,1733,2060,1185,885,3600,2376,8,9,7572,3586,9323,5283,13278,3862,2787,On-Time,1368,923,1869,Delayed,363
1,48842,4288,1453,1374,837,5409,8769,38,1,703,3586,2703,5595,8659,3245,9631,On-Time,229,551,585,On-Time,687
2,44376,8306,2462,510,978,13782,9808,35,2,29839,3586,32146,7740,1812,3025,9418,On-Time,653,287,1548,On-Time,648
3,35399,9585,2167,1791,533,21366,3601,32,8,26655,0,47097,1299,5150,853,894,On-Time,586,876,2438,On-Time,677
3,16088,5376,1168,905,173,3864,14322,23,8,3249,0,46328,9029,3938,3092,8626,On-Time,876,506,318,On-Time,480
1,642,3060,2464,1356,615,12262,15562,45,8,12678,3586,5355,4191,14825,2175,6160,On-Time,1271,138,2220,On-Time,543
3,26026,9571,3044,859,895,15307,6042,28,1,6125,0,38024,3365,3317,4985,7379,On-Time,1295,524,2403,On-Time,623
2,23817,3070,4085,947,249,23826,6502,43,8,4856,0,28061,2236,1959,4432,8085,Late,243,852,1113,On-Time,681
3,4622,4987,426,872,581,20151,19861,22,5,5431,0,27376,8661,11988,4741,2117,On-Time,1352,710,881,On-Time,417
2,36403,1866,2013,53,127,14465,12458,45,1,27493,0,31348,9807,1747,2573,1751,On-Time,1378,746,1952,On-Time,707
1,17364,8219,456,1051,635,18288,4156,45,7,20995,3586,26355,3342,12,3186,3486,On-Time,1149,712,2222,On-Time,583
3,44994,5129,2101,396,594,23250,12527,43,0,27611,3586,21743,5059,10736,3990,66,On-Time,748,438,1267,On-Time,788
2,5253,186,2761,1476,283,15922,1879,15,3,18396,0,29114,3680,3347,4366,2180,On-Time,769,290,2375,Delayed,251
2,36798,5584,2210,813,679,15853,17152,44,0,26404,0,34747,8321,427,3524,1551,Late,682,389,2328,On-Time,767
3,43410,9239,4088,1803,690,28604,8072,16,1,28934,3586,13465,4745,8465,287,2237,On-Time,1140,678,1299,On-Time,459
3,48263,2191,2485,218,193,13334,3586,32,8,23165,0,23279,7632,10397,172,176,On-Time,432,698,2195,On-Time,670
3,19778,7128,4575,1183,920,23403,3887,14,8,22834,3586,46448,800,13292,4813,8589,On-Time,591,136,1188,On-Time,478
2,16961,5967,3905,1941,144,18121,18502,49,1,26873,0,21112,9408,7976,2394,4860,On-Time,1132,842,1082,Delayed,661
3,39777,565,2420,624,188,9975,3123,34,3,12334,3586,12486,8464,5237,3641,3251,On-Time,1090,632,597,On-Time,660
2,14117,9436,1079,757,838,28120,12842,5,3,497,0,19625,1440,5039,2716,9149,On-Time,1299,945,720,On-Time,262
1,33167,8273,2004,843,339,26653,5259,30,0,29673,3586,36300,9310,13212,4832,6160,Late,169,111,2300,On-Time,685
2,38474,8089,972,685,702,28118,3452,21,6,29886,0,35671,1351,9489,782,6464,On-Time,939,458,1025,On-Time,526
2,31049,3861,4699,779,258,16972,19154,10,1,16672,0,44400,1892,3728,4931,25,On-Time,1217,626,1615,On-Time,372
2,46012,6906,3103,241,622,3128,16843,31,9,25060,3586,949,1059,3837,711,9301,On-Time,1490,257,584,On-Time,620
1,46635,7025,3727,1422,114,23633,8804,29,0,25069,0,42496,8386,7276,1043,7276,On-Time,309,445,2223,On-Time,660
1,44111,5147,3572,1929,190,8111,981,29,5,17401,3586,7953,8088,9892,4365,2216,On-Time,148,115,1215,On-Time,667
3,24510,2879,2745,1900,55,21314,17682,1,6,22748,3586,17633,1856,13875,2772,2331,On-Time,1338,292,1504,On-Time,215
1,18252,2393,3192,783,526,13313,4756,22,6,919,3586,1104,8056,2640,2333,8478,On-Time,797,945,1490,Delayed,383
2,23938,2750,2039,1156,315,15165,17852,1,8,23650,3586,17992,908,11794,1558,9443,Late,191,621,1788,Delayed,251
3,5613,9874,4251,1324,446,14442,3238,19,4,49,0,22093,9287,12772,2687,5651,On-Time,233,638,1145,On-Time,361
1,26564,7815,4263,208,782,27114,12756,24,5,13587,0,49450,2702,13638,2422,1300,On-Time,790,397,449,On-Time,601
1,37979,7999,2473,848,256,20448,3463,26,2,76,0,46445,3392,2901,400,3717,On-Time,1451,487,1655,Delayed,554
2,17093,7082,4790,990,236,19179,10525,41,3,28508,0,12696,7676,509,4348,7686,On-Time,612,186,1945,On-Time,554
3,31085,8288,4423,1817,807,26248,8678,29,9,7624,3586,11423,8957,2395,1791,8137,On-Time,1193,734,867,On-Time,551
2,48052,6312,2959,74,394,10691,2594,6,1,1578,0,43802,6009,10306,3790,1123,On-Time,316,614,1084,On-Time,440
2,7866,3435,682,1162,286,26873,11599,2,7,9000,0,8954,8459,10075,4909,6490,On-Time,1101,378,1327,On-Time,235
3,16622,7106,1156,1276,147,15521,4849,45,8,27656,3586,38724,2271,7150,3876,9297,On-Time,613,363,1726,On-Time,681
2,9639,7018,3634,263,841,18406,2567,4,5,3342,0,45894,7783,990,4891,4779,Late,667,677,636,On-Time,275
3,14584,701,4674,1401,393,3463,9912,8,8,4032,3586,45078,6469,4935,3941,2803,On-Time,1495,415,801,On-Time,333
1,30119,9720,223,1241,655,29388,4024,48,7,18185,0,20583,9354,2569,4367,7746,On-Time,166,736,1394,On-Time,780
2,39642,616,831,1253,599,4543,5103,47,1,6766,0,42677,5212,10623,2826,4871,On-Time,318,498,1554,On-Time,852
1,1275,6526,4292,1300,257,25899,8370,36,5,14449,3586,13145,5565,13617,1229,9282,On-Time,1453,343,656,Delayed,503
2,35497,7418,1447,916,773,13906,5390,31,4,12637,0,7057,6801,4188,1460,3120,On-Time,652,996,1877,On-Time,548
1,11309,5926,2216,366,825,26649,6852,23,3,26825,0,48895,361,10626,1437,5996,On-Time,1058,770,575,Delayed,429
3,33395,566,4998,818,120,6877,10140,44,0,29773,0,5492,1316,5368,4170,6257,On-Time,934,871,614,On-Time,720
2,24037,2434,4012,845,836,7111,3355,32,1,26716,3586,4791,6924,4083,786,668,On-Time,380,383,2216,On-Time,494
2,37207,9193,4238,274,397,25166,14408,40,5,23934,3586,18394,9976,10436,1775,1118,On-Time,364,429,2091,On-Time,657
